938085,703,of,2012,7-Feb-27,Commodo Hendrerit Institute,Ap #672-2383 Praesent Street,Aurora
840678,528,Reserved,2020,3-Aug-23,Sodales Elit Limited,Ap #672-2383 Praesent Street,Zephyr
289774,344,Pending,2017,18-Jul-24,Rutrum Foundation,Ap #647-1432 At Ave,Celestia
360798,151,for,2008,20-Mar-24,Ac Mattis Velit LLP,Ap #647-1432 At Ave,Swift
337409,194,Lost,2024,5-Oct-27,Ullamcorper Eu Industries,382-9072 Euismod Rd.,Serenity
485234,849,Backordered,2007,18-Aug-23,Suspendisse Tristique Neque Limited,382-9072 Euismod Rd.,Falcon
362722,576,Pending,2006,7-Sep-24,Tellus Institute,Ap #355-7867 Luctus Av.,Blaze
397884,162,Pending,2005,16-Jun-23,Etiam LLC,Ap #355-7867 Luctus Av.,Phoenix
221915,505,Lost,2009,14-Mar-25,Ligula Elit Pretium Limited,Ap #400-6347 Ultricies Street,Comet
405242,634,Discontinued,2012,3-Mar-25,Lorem Luctus Ut Foundation,Ap #400-6347 Ultricies Street,Orion
361271,422,pickup,2011,13-Aug-24,Lorem Luctus Ut Foundation,773-1631 Gravida Road,Neptune
438157,374,restock,2001,24-Jun-27,Lorem Luctus Ut Foundation,773-1631 Gravida Road,Tempest
688100,339,Discontinued,2010,11-Jul-26,Lorem Luctus Ut Foundation,P.O. Box 810 6352 Semper Avenue,Draco
575629,413,Ready,2005,10-Sep-27,Lorem Luctus Ut Foundation,P.O. Box 810 6352 Semper Avenue,Solaris
537605,111,Stolen,2011,21-Oct-24,Lorem Luctus Ut Foundation,784-201 Nullam Avenue,Nova
752591,802,restock,2004,13-Jul-26,Lorem Luctus Ut Foundation,784-201 Nullam Avenue,Comet
849481,713,Backordered,2004,8-May-25,Lorem Luctus Ut Foundation,Ap #567-6935 Orci Av.,Swift
562336,807,for,2017,29-Sep-26,Lorem Luctus Ut Foundation,Ap #567-6935 Orci Av.,Voyager
681299,674,Defective,2005,10-Jan-27,Elit Corporation,1017 Felis. Street,Nimbus
158238,102,Out,2000,18-Oct-24,Elit Corporation,1017 Felis. Street,Aurora
814386,809,TRUE,2024,24-Jun-24,Elit Corporation,8015 Donec Street,Zephyr
966552,261,FALSE,2024,15-May-24,Elit Corporation,8015 Donec Street,Celestia
101042,687,FALSE,2023,29-Jun-23,Curabitur Egestas Inc.,126-5311 Vitae Ave,Swift
504073,204,TRUE,2024,9-Aug-24,Curabitur Egestas Inc.,126-5311 Vitae Ave,Voyager
149854,973,FALSE,2023,5-Jul-23,Curabitur Egestas Inc.,467-406 Eget Rd.,Serenity
944418,957,TRUE,2024,17-May-24,Curabitur Egestas Inc.,467-406 Eget Rd.,Phoenix
695517,318,TRUE,2024,11-Dec-23,Curabitur Egestas Inc.,654-258 Nunc Av.,Comet
918979,266,TRUE,2023,29-Feb-24,Curabitur Egestas Inc.,654-258 Nunc Av.,Neptune
740249,521,TRUE,2024,10-Apr-24,Curabitur Egestas Inc.,6614 Sodales. St.,Tempest
518809,870,FALSE,2024,7-Jul-23,Nisl Quisque Fringilla Incorporated,6614 Sodales. St.,Draco
210544,501,FALSE,2024,5-Oct-23,Nisl Quisque Fringilla Incorporated,395-4478 Egestas Rd.,Solaris
549540,816,FALSE,2023,15-Dec-23,Proin Vel Associates,395-4478 Egestas Rd.,Nova
817019,548,FALSE,2024,26-Feb-24,Proin Vel Associates,842-1503 Molestie Avenue,Comet
504064,763,TRUE,2025,18-Jan-24,Ligula Aenean Ltd,842-1503 Molestie Avenue,Swift
538085,158,FALSE,2023,13-Jun-23,Ligula Aenean Ltd,Ap #354-9665 Neque. Road,Voyager
282897,135,TRUE,2023,31-Oct-23,Eget Magna Corporation,Ap #354-9665 Neque. Road,Nimbus
806507,294,TRUE,2024,31-Oct-23,Eget Magna Corporation,Ap #529-5778 A Road,Aurora
682571,408,FALSE,2023,6-Aug-23,Orci Ltd,Ap #529-5778 A Road,Zephyr
125073,195,TRUE,2024,20-Dec-23,Vel Convallis LLP,8511 Mollis Road,Celestia
984720,804,FALSE,2024,12-Apr-24,Iaculis Aliquet Corp.,8511 Mollis Road,Swift
