171,814386,2,7,6-May-23,26-Feb-24
22,966552,2,190,20-Mar-23,19-Oct-23
417,101042,3,186,10-Sep-23,4-Jul-23
933,101042,4,163,13-Jan-24,13-May-23
70,101042,10,85,28-Aug-23,12-Jun-23
856,101042,4,75,27-May-23,11-Oct-23
812,918979,5,71,9-Dec-23,8-Sep-23
302,918979,5,171,24-Apr-23,6-Jun-23
32,918979,5,107,23-Dec-23,20-Feb-24
111,210544,6,19,9-Dec-23,4-Jan-24
31,210544,6,195,27-Nov-23,15-May-23
681,210544,10,61,8-Dec-23,4-Jul-23
106,817019,10,92,25-Nov-23,29-Dec-23
689,817019,4,176,14-Mar-23,24-Oct-23
837,817019,8,43,30-Dec-23,20-May-23
842,282897,9,91,12-Oct-23,6-Jan-24
594,282897,4,122,7-Feb-24,14-Aug-23
356,282897,7,123,25-Apr-23,11-Nov-23
948,682571,4,68,12-Aug-23,30-May-23
47,682571,7,185,9-Sep-23,23-May-23
